N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
WeakUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Neutral,,,PC,,,,,Weak,DCVZFavor,Weak,Weak,Strong,Some,DecCapIncIns,Decreasing,,,XNIL,Jul2_Jul15,E,,TotalInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Stability,,LessUnstable,ACEFK,PartInhibit,Moderate,Moderate,E,XNIL,,,,CloseToDryAd,,ModerateOrLe,NoMajor,,,NegToPos,,SWQuad,Westerly,LV
WeakUp,Neutral,Down,Down,,VeryWet,Dry,VeryWet,Wet,PC,Cloudy,PC,,Strong,Strong,Westerly,Strong,,,,,,Neutral,,SVR,Aug20_Sep15,C,CThruK,PartInhibit,MoreThanAve,,,,Stability,LessUnstable,LessUnstable,,,Moderate,,C,SIG,,,LowEvrywhere,Steep,Average,,OtherRapid,MoistMDryL,,NegToPos,,NWQuad,LVorOther,WidespdDnsl
,Neutral,,,,Dry,Wet,,Neutral,Clear,PC,Clear,,Strong,Strong,,,,Weak,Marked,IncCapDecIns,,Neutral,LittleChange,XNIL,May15_Jun14,K,CThruK,Stifling,,MoreThanAve,K,N1GtLIGt_4,,MoreUnstable,MoreUnstable,ACEFK,,Moderate,,,XNIL,XNIL,XNIL,LowAtStation,,Dry,,,Other,MovingFtorOt,SigPositive,Moving,,Westerly,SEQuad
Neutral,,Neutral,Neutral,,Dry,,VeryWet,,PC,Clear,PC,PC,,,,,,,,IncCapDecIns,,,,XNIL,Jul16_Aug10,B,,,Average,,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,,Strong,Strong,B,,XNIL,XNIL,LowNHighS,,Dry,CloseToDryAd,OtherRapid,Other,,LittleChange,Other,NWQuad,LVorOther,E_NE
StrongUp,Neutral,StrongUp,StrongUp,StrongUp,Wet,VeryWet,,VeryWet,PC,Clear,PC,PC,,Weak,DCVZFavor,,,,,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,May15_Jun14,A,AB,Stifling,Average,Average,ABI,LILt_8,Neutral,,LessUnstable,,Stifling,Strong,Moderate,A,XNIL,,XNIL,LowMtsHighPl,ModerateOrLe,Dry,,MarkedUpper,DryMMoistL,,PosToNeg,,SWQuad,,DenvCyclone
WeakUp,Down,,Neutral,Neutral,Wet,Neutral,Dry,,Clear,Clear,Clear,Clear,,Weak,,Weak,Weak,Weak,,DecCapIncIns,,Negative,Decreasing,XNIL,,B,AB,,,LessThanAve,ABI,N5GtLIGt_8,Stability,Average,,B,PartInhibit,Moderate,,B,XNIL,XNIL,,,Stable,VeryMoist,CloseToDryAd,,DryMMoistL,,LittleChange,Other,SWQuad,LVorOther,LV
,Neutral,Neutral,Neutral,Neutral,Wet,,Dry,Dry,Clear,Clear,Clear,Clear,,,Other,,Weak,Weak,,LittleChange,LittleChange,Neutral,,,Jul2_Jul15,C,CThruK,Stifling,Average,,CDEJ,LIGt0,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Unfavorable,,C,XNIL,XNIL,XNIL,,CloseToDryAd,Average,Steep,MarkedUpper,MoistMDryL,E_W_N,SigPositive,,AllElse,Westerly,LongAnticyc
,Neutral,StrongUp,Neutral,Neutral,Dry,Dry,Dry,Dry,Clear,Clear,Clear,Clear,,,DCVZFavor,,Strong,,,LittleChange,LittleChange,WeakPos,Increasing,XNIL,,E,CThruK,PartInhibit,,,,,Neutral,MoreUnstable,MoreUnstable,,PartInhibit,,Slight,E,SIG,SIG,SIG,,ModerateOrLe,Dry,ModerateOrLe,NoMajor,Other,,,,,,WidespdDnsl
Neutral,,,Down,Down,Dry,Dry,,Dry,Clear,PC,Clear,,,,Other,,,,,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,May15_Jun14,,CThruK,PartInhibit,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,,Average,Average,,PartInhibit,Moderate,Slight,I,SVR,SVR,,LowSHighN,,Average,CloseToDryAd,MarkedUpper,,DryLine,LittleChange,QStationary,NWQuad,LVorOther,
,Down,Neutral,Down,,,Neutral,VeryWet,Wet,Clear,Cloudy,Cloudy,Cloudy,Strong,Strong,Westerly,Strong,Strong,Weak,,IncCapDecIns,Increasing,StrongPos,Increasing,,Jun15_Jul1,,CThruK,,,,ABI,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,Moderate,Moderate,I,SVR,XNIL,SIG,LowSHighN,CloseToDryAd,Average,CloseToDryAd,OtherRapid,DryMMoistL,E_W_S,SigNegative,Moving,SWQuad,,LV
Down,StronUp,StrongUp,StrongUp,StrongUp,Neutral,,Neutral,Neutral,,PC,Clear,PC,,Strong,DCVZFavor,Strong,,Weak,Marked,LittleChange,,WeakPos,Increasing,SVR,Aug20_Sep15,B,,,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,Average,,B,,Unfavorable,,B,,,SVR,HighEvrywher,Steep,Average,Steep,NoMajor,DryMMoistL,DenvCyclone,LittleChange,QStationary,NWQuad,,
Down,Down,StrongUp,Down,,Wet,Neutral,Wet,Dry,Cloudy,,,Clear,,Weak,StrongWest,,Weak,Strong,,IncCapDecIns,,,,,Aug20_Sep15,I,CThruK,,Average,MoreThanAve,,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,HI,,Moderate,Strong,,SVR,SVR,,,Steep,Average,CloseToDryAd,,DryMMoistL,E_W_S,PosToNeg,QStationary,SWQuad,Westerly,
Down,WeakUp,,WeakUp,WeakUp,,Wet,VeryWet,,,Cloudy,Cloudy,Cloudy,,,Westerly,,Weak,,,LittleChange,,WeakPos,Increasing,XNIL,,A,AB,,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,,PartInhibit,Unfavorable,Slight,A,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,Dry,Steep,MarkedUpper,Other,,SigNegative,Other,SWQuad,Westerly,DenvCyclone
Neutral,WeakUp,WeakUp,WeakUp,,Neutral,Neutral,Neutral,,PC,Cloudy,PC,PC,,Weak,Other,,Strong,Weak,,DecCapIncIns,,WeakPos,,SIG,Aug20_Sep15,,CThruK,Stifling,Average,LessThanAve,K,,Instability,MoreUnstable,MoreUnstable,ACEFK,,Moderate,Strong,K,SVR,SVR,SVR,Other,ModerateOrLe,Average,ModerateOrLe,StrongFront,Other,,PosToNeg,,,Westerly,WidespdDnsl
Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,,Clear,PC,PC,PC,Weak,,DCVZFavor,Weak,Weak,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul16_Aug10,J,,PartInhibit,,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,,GJ,,Weak,,J,SVR,SVR,SVR,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,,MoistMDryL,DryLine,LittleChange,,LV,LVorOther,SEQuad
WeakUp,Neutral,Neutral,,WeakUp,Dry,Dry,Wet,VeryWet,,PC,Clear,PC,Strong,,Other,,Strong,Strong,,DecCapIncIns,Decreasing,,Decreasing,,,D,,Stifling,Average,LessThanAve,CDEJ,N1GtLIGt_4,,Average,LessUnstable,,PartInhibit,,,D,XNIL,XNIL,SIG,LowAtStation,,,Steep,OtherRapid,Other,,SigNegative,Other,LV,LVorOther,WidespdDnsl
WeakUp,StronUp,,WeakUp,,Neutral,,Dry,,,PC,PC,PC,Weak,Weak,Other,,Weak,,,DecCapIncIns,Decreasing,,Increasing,XNIL,May15_Jun14,A,,,Average,LessThanAve,ABI,N5GtLIGt_8,Neutral,Average,,ACEFK,,Strong,Strong,A,SIG,SIG,SIG,HighEvrywher,ModerateOrLe,Average,Steep,,DryMMoistL,DenvCyclone,PosToNeg,Other,SWQuad,,DenvCyclone
Down,,Neutral,Neutral,Neutral,Wet,Dry,Neutral,,PC,Cloudy,PC,Clear,Strong,,StrongWest,Strong,,,Marked,LittleChange,LittleChange,Neutral,Increasing,,Jun15_Jul1,,AB,PartInhibit,LessThanAve,,ABI,N5GtLIGt_8,Neutral,Average,MoreUnstable,B,,Moderate,Strong,B,SIG,SIG,SVR,LowSHighN,,Average,,NoMajor,DryMMoistL,DryLine,,,LV,Westerly,DenvCyclone
WeakUp,StronUp,Down,Down,Down,,Neutral,Neutral,Neutral,Cloudy,PC,Clear,Clear,Strong,,,Weak,,,Some,IncCapDecIns,Increasing,Neutral,,SVR,Jul16_Aug10,C,CThruK,PartInhibit,,MoreThanAve,CDEJ,N5GtLIGt_8,,Average,MoreUnstable,ACEFK,,Weak,Strong,C,SIG,SIG,SVR,,,Average,Steep,,Other,E_W_N,SigPositive,,NWQuad,Westerly,LongAnticyc
Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Wet,,Clear,PC,Clear,Clear,Weak,,Westerly,Weak,,,,DecCapIncIns,,Neutral,LittleChange,SVR,May15_Jun14,,CThruK,,LessThanAve,LessThanAve,CDEJ,LIGt0,Instability,MoreUnstable,MoreUnstable,,,,Slight,,XNIL,XNIL,SVR,LowMtsHighPl,Steep,Average,CloseToDryAd,NoMajor,MoistMDryL,,LittleChange,Other,LV,LVorOther,LV
Down,,Down,,,Neutral,,Dry,Dry,PC,Cloudy,,Clear,Strong,,DCVZFavor,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,Negative,Increasing,,May15_Jun14,D,CThruK,PartInhibit,LessThanAve,Average,CDEJ,N1GtLIGt_4,Instability,Average,,,TotalInhibit,Moderate,Slight,D,SIG,SIG,SVR,,,Dry,,OtherRapid,,DryLine,LittleChange,Moving,NWQuad,Westerly,
Neutral,Neutral,,WeakUp,WeakUp,Dry,VeryWet,Dry,Dry,Clear,Cloudy,PC,,,Weak,DCVZFavor,,,Weak,Some,IncCapDecIns,,,Decreasing,SIG,Aug20_Sep15,D,,,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,,,LessUnstable,,,Moderate,,D,XNIL,XNIL,SIG,LowSHighN,,VeryMoist,,MarkedUpper,MoistMDryL,,SigPositive,Other,SWQuad,,
Down,Down,Neutral,Neutral,Neutral,Wet,,Neutral,Neutral,PC,PC,PC,,,Strong,,,,Strong,Some,,LittleChange,,Decreasing,,Aug20_Sep15,A,AB,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,,ACEFK,,Strong,Moderate,A,XNIL,SVR,,,Stable,,,StrongFront,Other,DenvCyclone,,Other,SWQuad,LVorOther,DenvCyclone
Down,,,Neutral,Neutral,,Neutral,Neutral,Neutral,Clear,Clear,,PC,Strong,,Westerly,Weak,Strong,Strong,Some,IncCapDecIns,Increasing,,LittleChange,,May15_Jun14,E,CThruK,,LessThanAve,Average,CDEJ,,Neutral,Average,Average,ACEFK,,Unfavorable,,E,,XNIL,SIG,LowAtStation,,Dry,ModerateOrLe,NoMajor,MoistMDryL,,,,,Westerly,LV
WeakUp,Down,Neutral,Down,,,Dry,Wet,Wet,Clear,PC,Clear,Clear,Weak,Strong,,Weak,Strong,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jul16_Aug10,C,CThruK,Stifling,Average,Average,CDEJ,LIGt0,Stability,LessUnstable,Average,ACEFK,Stifling,Strong,,C,XNIL,XNIL,,LowAtStation,Steep,Average,Steep,NoMajor,Other,E_W_N,SigPositive,,NWQuad,Westerly,
Down,,,Down,Down,Dry,Dry,Dry,Dry,PC,PC,Cloudy,Cloudy,Weak,Weak,,Strong,Weak,,Marked,IncCapDecIns,Increasing,,Increasing,SIG,,E,CThruK,PartInhibit,LessThanAve,Average,,,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,Moderate,E,XNIL,XNIL,,Other,Steep,Dry,Steep,OtherRapid,,E_W_N,SigNegative,,AllElse,LVorOther,LongAnticyc
,Neutral,StrongUp,,,Neutral,VeryWet,Wet,,PC,Clear,PC,PC,,,Other,,,Weak,,LittleChange,LittleChange,Negative,Decreasing,XNIL,Aug20_Sep15,J,CThruK,,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,,GJ,,,Strong,J,,SVR,SVR,LowMtsHighPl,Steep,Average,Steep,,,DryLine,LittleChange,,LV,LVorOther,LV
StrongUp,,WeakUp,StrongUp,StrongUp,VeryWet,Dry,VeryWet,VeryWet,PC,PC,Cloudy,Cloudy,Strong,Strong,,,,Strong,Marked,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,,G,,PartInhibit,Average,,G,N5GtLIGt_8,,MoreUnstable,,,,Moderate,,G,SIG,SIG,,,CloseToDryAd,Dry,CloseToDryAd,NoMajor,,,PosToNeg,,AllElse,Westerly,LongAnticyc
,Neutral,,Neutral,Neutral,Wet,Wet,Wet,,Clear,Clear,,PC,Weak,Weak,StrongWest,Strong,,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,May15_Jun14,K,,,LessThanAve,LessThanAve,,N1GtLIGt_4,Instability,Average,LessUnstable,,PartInhibit,Weak,Slight,K,XNIL,SIG,SIG,LowEvrywhere,ModerateOrLe,,ModerateOrLe,StrongFront,MoistMDryL,E_W_N,SigPositive,QStationary,NWQuad,Westerly,WidespdDnsl
,Down,,Neutral,Neutral,Neutral,VeryWet,Dry,Dry,Clear,PC,PC,Clear,Strong,,Other,Weak,,,Some,,LittleChange,Neutral,,SVR,Jul2_Jul15,D,CThruK,,MoreThanAve,,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,,D,PartInhibit,Moderate,Strong,,XNIL,XNIL,SVR,,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,DryMMoistL,,,Other,AllElse,Westerly,SEQuad
,,StrongUp,WeakUp,WeakUp,Dry,Wet,Wet,Wet,PC,Clear,,,Strong,Strong,,Strong,,Strong,Some,LittleChange,LittleChange,,LittleChange,SIG,Aug20_Sep15,G,CThruK,,,LessThanAve,G,,Stability,Average,Average,,Stifling,Moderate,,G,,SIG,SIG,,CloseToDryAd,Average,,,MoistMDryL,,SigNegative,,NWQuad,Westerly,
WeakUp,StronUp,StrongUp,StrongUp,StrongUp,,Dry,Wet,,PC,Clear,Clear,PC,Strong,Strong,,Strong,Weak,,Marked,LittleChange,LittleChange,Negative,LittleChange,SVR,Jul16_Aug10,,CThruK,PartInhibit,Average,Average,H,,Stability,,LessUnstable,HI,PartInhibit,Unfavorable,,H,,,SVR,,Stable,VeryMoist,ModerateOrLe,MarkedUpper,,MovingFtorOt,SigNegative,Moving,LV,Westerly,E_NE
,Neutral,Neutral,WeakUp,,Neutral,Neutral,Neutral,Wet,PC,Clear,Cloudy,Cloudy,,Strong,Westerly,Weak,Strong,Strong,Marked,,,StrongPos,Increasing,,May15_Jun14,K,CThruK,,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Instability,,MoreUnstable,ACEFK,PartInhibit,Weak,,K,SIG,SIG,SIG,,ModerateOrLe,Dry,Steep,StrongFront,,MovingFtorOt,SigNegative,,NWQuad,LVorOther,LongAnticyc
Down,Neutral,Neutral,,,Neutral,,Neutral,,PC,Clear,,,,,StrongWest,,,,Some,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jul2_Jul15,E,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Stability,Average,,ACEFK,,Weak,Strong,E,XNIL,,XNIL,LowSHighN,,Average,ModerateOrLe,MarkedUpper,MoistMDryL,E_W_N,LittleChange,,SWQuad,LVorOther,DenvCyclone
StrongUp,StronUp,Down,WeakUp,WeakUp,Dry,Wet,Wet,Wet,,Cloudy,Cloudy,PC,,Weak,DCVZFavor,,Weak,Weak,Some,LittleChange,LittleChange,,Decreasing,,Jul2_Jul15,I,CThruK,,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Stability,,LessUnstable,HI,PartInhibit,Unfavorable,,I,XNIL,XNIL,XNIL,LowSHighN,ModerateOrLe,Dry,,NoMajor,,,PosToNeg,Moving,,,SEQuad
WeakUp,WeakUp,Neutral,,Neutral,,Neutral,,Wet,Cloudy,Clear,Cloudy,,Strong,Strong,,Strong,,Strong,Some,,,,,SVR,May15_Jun14,B,AB,PartInhibit,LessThanAve,,,N1GtLIGt_4,Stability,,MoreUnstable,,PartInhibit,Strong,Strong,,SIG,SIG,SVR,,,Average,CloseToDryAd,,Other,,,Other,,LVorOther,SEQuad
