N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Neutral,Down,Neutral,Neutral,Neutral,Neutral,,Neutral,Wet,PC,,PC,PC,Weak,Strong,Other,,,,,DecCapIncIns,Decreasing,WeakPos,,SIG,May15_Jun14,H,CThruK,PartInhibit,Average,LessThanAve,H,N1GtLIGt_4,,,Average,,Stifling,Strong,Slight,H,XNIL,,SIG,LowMtsHighPl,ModerateOrLe,VeryMoist,Steep,MarkedUpper,DryMMoistL,Other,SigNegative,,LV,LVorOther,E_NE
WeakUp,StronUp,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Cloudy,PC,PC,PC,,,Other,,Weak,Weak,,LittleChange,LittleChange,,Increasing,XNIL,,K,CThruK,,LessThanAve,LessThanAve,K,N1GtLIGt_4,,MoreUnstable,MoreUnstable,ACEFK,,Strong,Strong,K,XNIL,SIG,SIG,Other,Steep,Average,ModerateOrLe,StrongFront,Other,,PosToNeg,Moving,AllElse,Westerly,WidespdDnsl
Down,WeakUp,Neutral,Neutral,,Dry,Dry,VeryWet,VeryWet,PC,PC,,,,Weak,,Strong,Weak,Strong,,DecCapIncIns,Decreasing,WeakPos,Increasing,XNIL,May15_Jun14,A,AB,PartInhibit,LessThanAve,LessThanAve,ABI,,Stability,LessUnstable,,ACEFK,,Unfavorable,,A,,,SVR,HighEvrywher,Stable,,ModerateOrLe,StrongFront,DryMMoistL,DenvCyclone,,Other,,LVorOther,DenvCyclone
StrongUp,,Down,Neutral,Neutral,Wet,Dry,Dry,Dry,Clear,Cloudy,PC,PC,Strong,,StrongWest,Strong,,Strong,Marked,DecCapIncIns,Decreasing,,Decreasing,,Jul2_Jul15,K,CThruK,,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Weak,Slight,K,SVR,SVR,SVR,HighEvrywher,,Average,Steep,MarkedUpper,DryMMoistL,MovingFtorOt,,Other,AllElse,LVorOther,WidespdDnsl
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Neutral,,Wet,Cloudy,Clear,Cloudy,PC,Strong,Strong,StrongWest,Strong,Strong,Strong,Marked,IncCapDecIns,,,Increasing,XNIL,Aug20_Sep15,C,CThruK,,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,Stifling,Weak,,C,,,,LowAtStation,Steep,Dry,ModerateOrLe,MarkedUpper,MoistMDryL,,LittleChange,,SWQuad,Westerly,LongAnticyc
,,StrongUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,Clear,PC,Clear,Clear,,,StrongWest,,,,,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,,B,AB,,,LessThanAve,ABI,LILt_8,Stability,Average,MoreUnstable,B,,Moderate,Moderate,B,SVR,SVR,SVR,HighEvrywher,,VeryMoist,Steep,,DryMMoistL,DenvCyclone,SigNegative,QStationary,SWQuad,LVorOther,DenvCyclone
WeakUp,WeakUp,Neutral,WeakUp,,Neutral,Neutral,Neutral,Neutral,,Clear,Clear,Clear,,Weak,DCVZFavor,Weak,Weak,Strong,,DecCapIncIns,Decreasing,Neutral,Decreasing,XNIL,Jul2_Jul15,E,CThruK,TotalInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,,,,Moderate,,XNIL,XNIL,XNIL,HighEvrywher,CloseToDryAd,Average,ModerateOrLe,NoMajor,MoistMDryL,,,,SWQuad,Westerly,LV
WeakUp,Neutral,Down,Down,Down,VeryWet,Dry,,Wet,PC,Cloudy,PC,PC,Strong,Strong,Westerly,Strong,,Strong,Marked,IncCapDecIns,Increasing,Neutral,,,Aug20_Sep15,C,CThruK,PartInhibit,MoreThanAve,MoreThanAve,,N1GtLIGt_4,,LessUnstable,LessUnstable,ACEFK,,Moderate,Strong,,SIG,SIG,SVR,LowEvrywhere,Steep,,ModerateOrLe,,MoistMDryL,E_W_N,,,NWQuad,LVorOther,WidespdDnsl
Neutral,Neutral,,Neutral,Neutral,Dry,Wet,Neutral,Neutral,Clear,PC,Clear,Clear,,Strong,DCVZFavor,Weak,Weak,,Marked,,Increasing,Neutral,LittleChange,,May15_Jun14,K,CThruK,Stifling,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,,,Moderate,Strong,K,XNIL,,XNIL,LowAtStation,Steep,Dry,ModerateOrLe,StrongFront,,MovingFtorOt,,Moving,NWQuad,Westerly,SEQuad
Neutral,,Neutral,Neutral,,,Neutral,VeryWet,VeryWet,PC,Clear,PC,PC,,,Westerly,,,,,IncCapDecIns,Increasing,,Decreasing,,Jul16_Aug10,B,AB,,Average,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,,Strong,Strong,,XNIL,XNIL,,LowNHighS,Stable,Dry,CloseToDryAd,OtherRapid,Other,,LittleChange,Other,,LVorOther,E_NE
StrongUp,Neutral,StrongUp,StrongUp,StrongUp,Wet,VeryWet,VeryWet,VeryWet,PC,Clear,PC,,,Weak,DCVZFavor,,Strong,,Some,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,May15_Jun14,A,AB,Stifling,Average,Average,,,Neutral,Average,LessUnstable,ACEFK,Stifling,Strong,Moderate,A,XNIL,XNIL,XNIL,LowMtsHighPl,ModerateOrLe,Dry,Steep,MarkedUpper,DryMMoistL,,PosToNeg,Other,SWQuad,Westerly,DenvCyclone
,Down,,Neutral,,Wet,Neutral,Dry,,Clear,Clear,Clear,Clear,,Weak,Westerly,Weak,Weak,,,DecCapIncIns,Decreasing,Negative,Decreasing,,Aug20_Sep15,B,AB,,LessThanAve,LessThanAve,,N5GtLIGt_8,Stability,,LessUnstable,B,PartInhibit,Moderate,Moderate,B,,XNIL,XNIL,,Stable,,CloseToDryAd,NoMajor,DryMMoistL,MovingFtorOt,LittleChange,Other,SWQuad,LVorOther,LV
WeakUp,Neutral,Neutral,Neutral,,Wet,Neutral,Dry,Dry,Clear,Clear,Clear,Clear,,,Other,,Weak,Weak,,LittleChange,,Neutral,Decreasing,XNIL,,C,CThruK,,Average,Average,,LIGt0,,LessUnstable,,ACEFK,PartInhibit,Unfavorable,,C,XNIL,,XNIL,LowAtStation,CloseToDryAd,Average,Steep,MarkedUpper,MoistMDryL,E_W_N,,Other,AllElse,,LongAnticyc
Neutral,,StrongUp,,,Dry,Dry,Dry,Dry,Clear,Clear,Clear,Clear,,,DCVZFavor,,Strong,Strong,,LittleChange,LittleChange,WeakPos,,XNIL,Jul2_Jul15,,CThruK,PartInhibit,,LessThanAve,CDEJ,N5GtLIGt_8,,MoreUnstable,MoreUnstable,,PartInhibit,Moderate,,E,SIG,SIG,SIG,LowMtsHighPl,ModerateOrLe,Dry,ModerateOrLe,NoMajor,Other,,LittleChange,,,Westerly,WidespdDnsl
Neutral,StronUp,Down,Down,Down,Dry,Dry,Dry,Dry,Clear,PC,Clear,Clear,,,,,,,,IncCapDecIns,Increasing,,Decreasing,XNIL,May15_Jun14,I,,PartInhibit,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,Stability,Average,Average,HI,,,,I,,SVR,SVR,LowSHighN,ModerateOrLe,Average,CloseToDryAd,MarkedUpper,DryMMoistL,DryLine,LittleChange,,,LVorOther,DenvCyclone
Down,Down,,,Down,Dry,Neutral,VeryWet,Wet,,Cloudy,Cloudy,Cloudy,Strong,Strong,Westerly,Strong,,Weak,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,Jun15_Jul1,I,CThruK,PartInhibit,Average,Average,ABI,,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,Moderate,Moderate,,SVR,XNIL,SIG,LowSHighN,CloseToDryAd,Average,CloseToDryAd,OtherRapid,,,SigNegative,Moving,SWQuad,Westerly,LV
Down,StronUp,StrongUp,StrongUp,StrongUp,Neutral,Neutral,Neutral,Neutral,Clear,PC,Clear,PC,Strong,Strong,DCVZFavor,Strong,,Weak,Marked,LittleChange,LittleChange,WeakPos,Increasing,SVR,Aug20_Sep15,B,AB,,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,,Average,MoreUnstable,B,,Unfavorable,,B,XNIL,XNIL,SVR,HighEvrywher,,Average,Steep,,,DenvCyclone,,QStationary,,Westerly,DenvCyclone
,Down,StrongUp,,Down,Wet,Neutral,Wet,Dry,Cloudy,PC,Cloudy,Clear,,,StrongWest,Strong,Weak,Strong,Some,IncCapDecIns,,Neutral,Increasing,XNIL,Aug20_Sep15,I,CThruK,,Average,MoreThanAve,ABI,N5GtLIGt_8,Neutral,MoreUnstable,,HI,,Moderate,Strong,I,SVR,SVR,SVR,LowMtsHighPl,Steep,Average,CloseToDryAd,OtherRapid,DryMMoistL,E_W_S,,QStationary,SWQuad,Westerly,E_NE
Down,WeakUp,Neutral,WeakUp,WeakUp,Wet,Wet,,VeryWet,PC,Cloudy,Cloudy,Cloudy,,,Westerly,,Weak,,,LittleChange,,WeakPos,,XNIL,Aug20_Sep15,A,AB,,,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Unfavorable,Slight,A,XNIL,XNIL,,HighEvrywher,ModerateOrLe,Dry,Steep,MarkedUpper,Other,DenvCyclone,,Other,SWQuad,Westerly,DenvCyclone
Neutral,,WeakUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,PC,Cloudy,PC,PC,,Weak,Other,,Strong,Weak,,DecCapIncIns,Decreasing,WeakPos,,SIG,Aug20_Sep15,K,CThruK,Stifling,Average,LessThanAve,K,,Instability,MoreUnstable,MoreUnstable,ACEFK,,Moderate,Strong,K,SVR,SVR,SVR,,ModerateOrLe,Average,,StrongFront,Other,,PosToNeg,,,Westerly,WidespdDnsl
Down,Neutral,Neutral,,Neutral,Neutral,Neutral,Dry,Neutral,Clear,PC,PC,PC,Weak,Weak,DCVZFavor,Weak,Weak,Weak,Some,LittleChange,LittleChange,Neutral,,SIG,,J,CThruK,PartInhibit,MoreThanAve,,CDEJ,,Instability,MoreUnstable,,GJ,Stifling,Weak,,,,SVR,SVR,,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,,,LV,LVorOther,SEQuad
WeakUp,Neutral,Neutral,,WeakUp,Dry,Dry,Wet,VeryWet,Clear,PC,Clear,PC,Strong,Strong,Other,,Strong,Strong,,DecCapIncIns,Decreasing,Neutral,Decreasing,SIG,Jul16_Aug10,,,Stifling,Average,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,LessUnstable,D,PartInhibit,Moderate,Moderate,D,XNIL,,SIG,LowAtStation,Stable,Dry,Steep,,Other,DryLine,,,LV,LVorOther,WidespdDnsl
WeakUp,StronUp,,,WeakUp,Neutral,VeryWet,,Dry,PC,PC,PC,PC,,Weak,Other,,Weak,Weak,,DecCapIncIns,Decreasing,WeakPos,Increasing,,May15_Jun14,A,AB,Stifling,Average,LessThanAve,ABI,N5GtLIGt_8,Neutral,Average,Average,ACEFK,,Strong,,A,SIG,SIG,SIG,HighEvrywher,ModerateOrLe,Average,,,DryMMoistL,DenvCyclone,PosToNeg,Other,,Westerly,DenvCyclone
Down,Neutral,Neutral,Neutral,Neutral,Wet,Dry,Neutral,Wet,PC,,PC,Clear,Strong,Strong,StrongWest,Strong,,Strong,Marked,LittleChange,LittleChange,Neutral,Increasing,SVR,Jun15_Jul1,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,,Average,MoreUnstable,B,PartInhibit,Moderate,Strong,B,SIG,SIG,,LowSHighN,Stable,,Steep,NoMajor,DryMMoistL,DryLine,LittleChange,,LV,,DenvCyclone
WeakUp,,Down,Down,Down,Wet,,Neutral,Neutral,Cloudy,PC,Clear,Clear,Strong,Strong,Other,Weak,,,Some,IncCapDecIns,,Neutral,Increasing,SVR,Jul16_Aug10,C,CThruK,PartInhibit,LessThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,Average,,ACEFK,,Weak,Strong,C,SIG,SIG,SVR,,,,Steep,,Other,E_W_N,SigPositive,Other,NWQuad,Westerly,
Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Wet,,Wet,Clear,PC,Clear,Clear,Weak,Strong,,Weak,,,Some,,Decreasing,Neutral,LittleChange,,May15_Jun14,J,,,LessThanAve,,CDEJ,LIGt0,Instability,MoreUnstable,MoreUnstable,GJ,,,,J,XNIL,XNIL,SVR,LowMtsHighPl,Steep,Average,CloseToDryAd,NoMajor,MoistMDryL,Other,LittleChange,Other,LV,LVorOther,LV
Down,Neutral,Down,Neutral,Neutral,Neutral,Dry,Dry,Dry,PC,Cloudy,PC,Clear,,Strong,,Strong,Weak,Strong,Marked,,Increasing,Negative,Increasing,SVR,May15_Jun14,D,CThruK,PartInhibit,,Average,CDEJ,N1GtLIGt_4,Instability,Average,Average,D,TotalInhibit,Moderate,Slight,D,SIG,SIG,SVR,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,Other,DryLine,LittleChange,Moving,NWQuad,Westerly,
,Neutral,StrongUp,WeakUp,WeakUp,Dry,VeryWet,Dry,Dry,Clear,Cloudy,PC,PC,,Weak,DCVZFavor,Weak,,Weak,Some,IncCapDecIns,Increasing,,Decreasing,SIG,Aug20_Sep15,D,,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,,Average,,,Stifling,,,D,XNIL,XNIL,,LowSHighN,CloseToDryAd,VeryMoist,CloseToDryAd,MarkedUpper,MoistMDryL,DryLine,SigPositive,Other,SWQuad,LVorOther,DenvCyclone
Down,Down,Neutral,Neutral,,,Wet,Neutral,Neutral,PC,PC,PC,PC,Strong,Strong,DCVZFavor,Strong,,Strong,Some,LittleChange,LittleChange,,,XNIL,Aug20_Sep15,A,AB,PartInhibit,Average,Average,ABI,,,LessUnstable,LessUnstable,ACEFK,,Strong,Moderate,A,XNIL,SVR,,HighEvrywher,,Average,Steep,StrongFront,Other,DenvCyclone,PosToNeg,,SWQuad,LVorOther,DenvCyclone
Down,,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Clear,Clear,PC,,Strong,Strong,Westerly,Weak,Strong,Strong,Some,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,May15_Jun14,E,CThruK,,LessThanAve,Average,CDEJ,,Neutral,Average,,ACEFK,,Unfavorable,,E,XNIL,XNIL,SIG,LowAtStation,,,ModerateOrLe,NoMajor,MoistMDryL,,LittleChange,,SWQuad,Westerly,LV
WeakUp,Down,Neutral,Down,Down,Neutral,Dry,Wet,Wet,Clear,,,,Weak,Strong,,Weak,Strong,Weak,,,LittleChange,Neutral,,XNIL,Jul16_Aug10,C,CThruK,Stifling,Average,,CDEJ,LIGt0,Stability,,Average,,Stifling,Strong,,C,XNIL,XNIL,,,Steep,Average,Steep,NoMajor,Other,E_W_N,,,NWQuad,Westerly,LongAnticyc
Down,Neutral,Neutral,Down,Down,Dry,Dry,Dry,Dry,PC,PC,Cloudy,Cloudy,,Weak,StrongWest,,Weak,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,E,CThruK,PartInhibit,LessThanAve,Average,CDEJ,N1GtLIGt_4,Instability,,,ACEFK,PartInhibit,Moderate,,E,XNIL,XNIL,SIG,Other,Steep,Dry,Steep,OtherRapid,MoistMDryL,E_W_N,SigNegative,,AllElse,LVorOther,LongAnticyc
WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Neutral,VeryWet,Wet,,PC,Clear,PC,PC,,,Other,,Weak,Weak,,LittleChange,LittleChange,Negative,,,Aug20_Sep15,J,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,Average,GJ,,Weak,Strong,J,SVR,,SVR,LowMtsHighPl,Steep,Average,Steep,NoMajor,Other,DryLine,LittleChange,,LV,,LV
StrongUp,StronUp,WeakUp,StrongUp,StrongUp,VeryWet,Dry,VeryWet,,PC,PC,Cloudy,Cloudy,Strong,Strong,DCVZFavor,Strong,,Strong,Marked,IncCapDecIns,Increasing,Neutral,,XNIL,Jul2_Jul15,G,,PartInhibit,,MoreThanAve,G,,Neutral,MoreUnstable,MoreUnstable,GJ,,Moderate,Moderate,G,SIG,,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,,,,AllElse,Westerly,LongAnticyc
WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Wet,,Clear,,PC,PC,,Weak,StrongWest,Strong,,Weak,Some,LittleChange,,Negative,Decreasing,SIG,May15_Jun14,K,CThruK,PartInhibit,LessThanAve,LessThanAve,K,,Instability,Average,,ACEFK,PartInhibit,Weak,Slight,,,SIG,SIG,LowEvrywhere,ModerateOrLe,Dry,ModerateOrLe,StrongFront,MoistMDryL,E_W_N,SigPositive,QStationary,NWQuad,Westerly,WidespdDnsl
Down,Down,Neutral,,Neutral,Neutral,VeryWet,Dry,,Clear,PC,PC,Clear,Strong,Strong,Other,Weak,Weak,,Some,LittleChange,LittleChange,Neutral,LittleChange,SVR,Jul2_Jul15,D,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,Average,D,PartInhibit,Moderate,Strong,D,XNIL,XNIL,SVR,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,,,,Other,AllElse,,SEQuad
Neutral,,StrongUp,WeakUp,WeakUp,,Wet,,Wet,PC,Clear,Clear,Clear,Strong,,StrongWest,Strong,,Strong,Some,LittleChange,,Negative,LittleChange,SIG,Aug20_Sep15,G,,,LessThanAve,LessThanAve,G,N1GtLIGt_4,Stability,Average,Average,GJ,Stifling,Moderate,Slight,,SIG,SIG,SIG,LowSHighN,CloseToDryAd,,CloseToDryAd,MarkedUpper,MoistMDryL,DryLine,SigNegative,,NWQuad,Westerly,LongAnticyc
WeakUp,StronUp,,StrongUp,,Wet,Dry,,VeryWet,PC,Clear,Clear,PC,Strong,Strong,StrongWest,Strong,Weak,Weak,Marked,LittleChange,LittleChange,Negative,LittleChange,SVR,Jul16_Aug10,H,CThruK,,Average,Average,H,,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Unfavorable,,H,XNIL,XNIL,SVR,HighEvrywher,Stable,,,MarkedUpper,Other,MovingFtorOt,,Moving,LV,Westerly,
