N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Neutral,,,Neutral,,Dry,VeryWet,Neutral,Neutral,PC,Cloudy,Cloudy,Cloudy,Weak,Weak,,,Weak,Weak,,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,May15_Jun14,,CThruK,,Average,MoreThanAve,,N1GtLIGt_4,Instability,MoreUnstable,,,,,,I,,SIG,SIG,LowMtsHighPl,ModerateOrLe,,Steep,NoMajor,DryMMoistL,Other,LittleChange,,AllElse,,
Neutral,Down,Neutral,Down,Down,,,Neutral,Dry,Clear,Clear,Clear,Clear,,,Westerly,,Weak,,,,,Negative,,XNIL,May15_Jun14,,AB,,,,,,,LessUnstable,LessUnstable,B,Stifling,,,,SIG,,SIG,LowMtsHighPl,Steep,Average,,NoMajor,DryMMoistL,,,QStationary,SWQuad,LVorOther,DenvCyclone
Neutral,Neutral,,WeakUp,WeakUp,Dry,,Wet,Neutral,Clear,PC,,,Strong,,StrongWest,Strong,Weak,,Some,LittleChange,LittleChange,StrongPos,,,Jul16_Aug10,B,AB,,,,ABI,N1GtLIGt_4,Neutral,LessUnstable,,,,,,B,,XNIL,SVR,LowEvrywhere,Stable,,,MarkedUpper,DryMMoistL,,PosToNeg,Other,LV,Westerly,DenvCyclone
StrongUp,,,WeakUp,WeakUp,Wet,,Wet,VeryWet,PC,,PC,PC,,Strong,,Strong,Strong,,Marked,LittleChange,LittleChange,StrongPos,,SVR,May15_Jun14,,,PartInhibit,,,K,LIGt0,Neutral,LessUnstable,,,PartInhibit,,Moderate,K,XNIL,XNIL,SVR,LowSHighN,ModerateOrLe,Dry,ModerateOrLe,StrongFront,,MovingFtorOt,SigNegative,Moving,NWQuad,Westerly,WidespdDnsl
WeakUp,Neutral,,,,VeryWet,Neutral,,VeryWet,Clear,Clear,Clear,Clear,,Weak,Westerly,Weak,,Weak,,,Decreasing,Negative,Decreasing,SIG,Aug20_Sep15,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,,Stability,Average,LessUnstable,D,,Weak,Moderate,D,SIG,,SIG,HighEvrywher,CloseToDryAd,Average,Steep,StrongFront,Other,DenvCyclone,NegToPos,Other,AllElse,LVorOther,DenvCyclone
Neutral,Down,Neutral,Neutral,Neutral,Neutral,Neutral,,Wet,PC,PC,PC,PC,,Strong,Other,,,,,,Decreasing,WeakPos,LittleChange,SIG,,H,CThruK,PartInhibit,,,,N1GtLIGt_4,,,,HI,Stifling,,Slight,H,XNIL,XNIL,SIG,,ModerateOrLe,VeryMoist,Steep,,DryMMoistL,Other,SigNegative,,LV,LVorOther,
WeakUp,,,Neutral,Neutral,Neutral,Neutral,,Neutral,Cloudy,PC,PC,PC,,,Other,,Weak,,,LittleChange,,WeakPos,Increasing,,May15_Jun14,K,CThruK,,LessThanAve,,K,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,,,Strong,Strong,,,SIG,,Other,Steep,,ModerateOrLe,,Other,MovingFtorOt,,Moving,,Westerly,
Down,WeakUp,Neutral,,,Dry,Dry,VeryWet,VeryWet,PC,PC,Clear,Clear,,,StrongWest,Strong,Weak,,,DecCapIncIns,Decreasing,WeakPos,,XNIL,,A,AB,PartInhibit,,LessThanAve,ABI,LIGt0,Stability,LessUnstable,,ACEFK,,Unfavorable,,A,SVR,SVR,SVR,HighEvrywher,Stable,Average,ModerateOrLe,StrongFront,,DenvCyclone,SigNegative,,SWQuad,LVorOther,DenvCyclone
,Neutral,Down,Neutral,Neutral,Wet,,,Dry,,Cloudy,PC,PC,Strong,Strong,StrongWest,Strong,,Strong,Marked,,Decreasing,,Decreasing,SVR,,K,CThruK,Stifling,MoreThanAve,MoreThanAve,K,,Stability,MoreUnstable,,ACEFK,PartInhibit,Weak,Slight,K,SVR,SVR,SVR,,ModerateOrLe,,,MarkedUpper,DryMMoistL,,SigPositive,Other,,,WidespdDnsl
StrongUp,Neutral,Neutral,,WeakUp,Neutral,Neutral,,Wet,,Clear,Cloudy,PC,Strong,,StrongWest,,Strong,Strong,,IncCapDecIns,Increasing,,Increasing,XNIL,Aug20_Sep15,C,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,,MoreUnstable,ACEFK,,,,C,XNIL,XNIL,XNIL,LowAtStation,,Dry,,MarkedUpper,MoistMDryL,,LittleChange,,SWQuad,,LongAnticyc
,,,WeakUp,WeakUp,Neutral,,Neutral,,Clear,PC,Clear,Clear,,,StrongWest,,,,,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,,B,AB,,LessThanAve,LessThanAve,ABI,LILt_8,,,MoreUnstable,,,Moderate,,B,,SVR,SVR,HighEvrywher,Steep,VeryMoist,Steep,NoMajor,DryMMoistL,DenvCyclone,,,,LVorOther,DenvCyclone
WeakUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,,Neutral,Neutral,PC,,Clear,Clear,,Weak,,Weak,Weak,Strong,Some,DecCapIncIns,Decreasing,Neutral,,XNIL,Jul2_Jul15,E,CThruK,TotalInhibit,Average,,,N1GtLIGt_4,,,,ACEFK,PartInhibit,,Moderate,E,,XNIL,XNIL,HighEvrywher,CloseToDryAd,Average,,NoMajor,MoistMDryL,,NegToPos,,SWQuad,,LV
,Neutral,Down,,Down,VeryWet,,,,,Cloudy,PC,PC,Strong,Strong,Westerly,,,Strong,Marked,IncCapDecIns,,,Increasing,SVR,Aug20_Sep15,,CThruK,,,MoreThanAve,CDEJ,N1GtLIGt_4,,LessUnstable,,,,Moderate,,C,,SIG,,LowEvrywhere,Steep,Average,,OtherRapid,,,NegToPos,,NWQuad,LVorOther,WidespdDnsl
,Neutral,WeakUp,Neutral,Neutral,Dry,Wet,Neutral,,,PC,Clear,Clear,Strong,Strong,,Weak,Weak,Weak,Marked,,Increasing,Neutral,LittleChange,,May15_Jun14,,CThruK,,,MoreThanAve,K,N1GtLIGt_4,Instability,,MoreUnstable,ACEFK,,,Strong,K,XNIL,,XNIL,LowAtStation,Steep,,ModerateOrLe,StrongFront,Other,MovingFtorOt,,,NWQuad,,SEQuad
,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,,,PC,Clear,PC,,,,Westerly,,,,,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,,B,,Stifling,Average,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,,,,,,,XNIL,,,LowNHighS,,Dry,CloseToDryAd,OtherRapid,,,LittleChange,,NWQuad,LVorOther,
StrongUp,Neutral,StrongUp,,StrongUp,Wet,VeryWet,VeryWet,VeryWet,PC,Clear,PC,,,,DCVZFavor,,,,Some,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,May15_Jun14,A,,,Average,Average,ABI,LILt_8,,Average,LessUnstable,ACEFK,Stifling,,Moderate,,XNIL,XNIL,XNIL,LowMtsHighPl,,Dry,Steep,,,DenvCyclone,PosToNeg,Other,,Westerly,DenvCyclone
WeakUp,Down,WeakUp,,Neutral,Wet,Neutral,,,Clear,Clear,,Clear,,Weak,Westerly,Weak,,Weak,,DecCapIncIns,Decreasing,Negative,,,Aug20_Sep15,B,AB,,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Stability,Average,LessUnstable,B,PartInhibit,Moderate,Moderate,B,,XNIL,XNIL,LowMtsHighPl,Stable,,CloseToDryAd,NoMajor,DryMMoistL,,LittleChange,,SWQuad,LVorOther,LV
WeakUp,,Neutral,,,Wet,,Dry,Dry,,Clear,Clear,Clear,,,Other,,Weak,,,,LittleChange,Neutral,,XNIL,Jul2_Jul15,,,,,Average,,LIGt0,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Unfavorable,,C,XNIL,XNIL,XNIL,,CloseToDryAd,Average,Steep,MarkedUpper,MoistMDryL,,,Other,,Westerly,LongAnticyc
,Neutral,StrongUp,Neutral,Neutral,Dry,Dry,Dry,,,Clear,,Clear,,,DCVZFavor,,Strong,Strong,,LittleChange,LittleChange,,Increasing,,,,CThruK,,,LessThanAve,CDEJ,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,ACEFK,,Moderate,Slight,E,SIG,,,LowMtsHighPl,ModerateOrLe,Dry,ModerateOrLe,,Other,,,,LV,Westerly,WidespdDnsl
Neutral,StronUp,Down,Down,Down,Dry,Dry,,Dry,,PC,Clear,,,,Other,,,,,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,May15_Jun14,I,CThruK,PartInhibit,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,,,Average,HI,PartInhibit,Moderate,Slight,I,SVR,SVR,SVR,LowSHighN,ModerateOrLe,Average,CloseToDryAd,MarkedUpper,DryMMoistL,,LittleChange,QStationary,NWQuad,,
Down,Down,Neutral,Down,Down,Dry,,VeryWet,,Clear,Cloudy,,Cloudy,Strong,,Westerly,Strong,Strong,Weak,,,Increasing,,Increasing,SIG,Jun15_Jul1,I,CThruK,PartInhibit,Average,Average,,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,,Moderate,,SVR,,SIG,LowSHighN,,Average,,OtherRapid,,E_W_S,SigNegative,,,Westerly,LV
Down,StronUp,StrongUp,,,Neutral,,Neutral,,Clear,,Clear,PC,Strong,Strong,DCVZFavor,Strong,,Weak,Marked,LittleChange,LittleChange,,Increasing,,Aug20_Sep15,,AB,,LessThanAve,,ABI,N1GtLIGt_4,Stability,Average,MoreUnstable,B,,Unfavorable,,B,XNIL,XNIL,SVR,HighEvrywher,Steep,Average,Steep,NoMajor,DryMMoistL,DenvCyclone,,QStationary,NWQuad,Westerly,DenvCyclone
Down,Down,StrongUp,Down,Down,Wet,Neutral,Wet,Dry,,,Cloudy,Clear,,Weak,StrongWest,,Weak,Strong,Some,IncCapDecIns,Increasing,Neutral,Increasing,,Aug20_Sep15,I,CThruK,,Average,MoreThanAve,,N5GtLIGt_8,,,MoreUnstable,HI,,Moderate,Strong,I,SVR,SVR,SVR,LowMtsHighPl,Steep,Average,CloseToDryAd,OtherRapid,DryMMoistL,,PosToNeg,QStationary,SWQuad,Westerly,E_NE
Down,WeakUp,Neutral,WeakUp,WeakUp,Wet,Wet,VeryWet,,,Cloudy,Cloudy,Cloudy,,,Westerly,,Weak,,,LittleChange,LittleChange,,Increasing,XNIL,,A,AB,,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,,,A,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,Dry,Steep,MarkedUpper,,,,Other,,,DenvCyclone
Neutral,WeakUp,WeakUp,WeakUp,WeakUp,,Neutral,,Wet,PC,,PC,PC,,Weak,,,Strong,Weak,,DecCapIncIns,,,,SIG,,K,CThruK,Stifling,Average,LessThanAve,K,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,,Moderate,,,,SVR,SVR,Other,ModerateOrLe,Average,ModerateOrLe,StrongFront,Other,,PosToNeg,,NWQuad,Westerly,
Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,,Clear,PC,PC,PC,,,,Weak,,,,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul16_Aug10,J,,PartInhibit,MoreThanAve,,CDEJ,,,MoreUnstable,,GJ,Stifling,Weak,,J,SVR,SVR,SVR,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,NoMajor,,DryLine,,,LV,LVorOther,
WeakUp,,Neutral,WeakUp,WeakUp,Dry,Dry,,,Clear,PC,Clear,,Strong,,,,Strong,Strong,,DecCapIncIns,Decreasing,,Decreasing,SIG,,D,CThruK,Stifling,,LessThanAve,,N1GtLIGt_4,Neutral,Average,,D,PartInhibit,Moderate,Moderate,,XNIL,XNIL,SIG,LowAtStation,Stable,Dry,,OtherRapid,Other,DryLine,SigNegative,Other,LV,LVorOther,
WeakUp,StronUp,,WeakUp,WeakUp,,VeryWet,Dry,,PC,PC,PC,PC,Weak,Weak,,,Weak,Weak,,DecCapIncIns,Decreasing,WeakPos,,XNIL,,,AB,,Average,LessThanAve,ABI,N5GtLIGt_8,,Average,,ACEFK,,Strong,Strong,A,SIG,,,HighEvrywher,ModerateOrLe,Average,Steep,MarkedUpper,DryMMoistL,DenvCyclone,,Other,SWQuad,Westerly,DenvCyclone
Down,Neutral,Neutral,Neutral,,Wet,,,Wet,PC,Cloudy,,Clear,,Strong,StrongWest,Strong,,Strong,Marked,LittleChange,LittleChange,Neutral,,SVR,Jun15_Jul1,B,AB,PartInhibit,,LessThanAve,,N5GtLIGt_8,Neutral,Average,MoreUnstable,B,PartInhibit,,Strong,B,SIG,SIG,SVR,LowSHighN,Stable,Average,Steep,NoMajor,,DryLine,LittleChange,,,Westerly,
WeakUp,StronUp,Down,Down,Down,Wet,Neutral,Neutral,,Cloudy,PC,Clear,Clear,Strong,,Other,Weak,,,Some,,Increasing,Neutral,Increasing,SVR,,C,CThruK,PartInhibit,LessThanAve,MoreThanAve,,N5GtLIGt_8,Stability,,,ACEFK,,Weak,Strong,C,SIG,SIG,SVR,,,,Steep,MarkedUpper,,E_W_N,,Other,,Westerly,LongAnticyc
Neutral,Neutral,,Neutral,Neutral,Wet,Wet,Wet,Wet,,,,Clear,,Strong,Westerly,Weak,,,Some,DecCapIncIns,Decreasing,Neutral,LittleChange,,May15_Jun14,J,CThruK,,LessThanAve,LessThanAve,CDEJ,,Instability,MoreUnstable,MoreUnstable,,,Unfavorable,,J,XNIL,XNIL,,LowMtsHighPl,Steep,Average,CloseToDryAd,NoMajor,MoistMDryL,Other,LittleChange,Other,,,LV
Down,Neutral,Down,,Neutral,Neutral,Dry,Dry,Dry,PC,Cloudy,,Clear,Strong,Strong,,Strong,Weak,Strong,,IncCapDecIns,Increasing,Negative,,,May15_Jun14,D,CThruK,PartInhibit,LessThanAve,Average,CDEJ,N1GtLIGt_4,Instability,Average,Average,D,,Moderate,Slight,D,,SIG,,,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,,DryLine,LittleChange,Moving,,Westerly,LV
Neutral,Neutral,,WeakUp,WeakUp,Dry,VeryWet,,Dry,Clear,Cloudy,PC,,,,DCVZFavor,Weak,,Weak,,,Increasing,,Decreasing,,,D,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,,LessUnstable,,,Moderate,,,,,SIG,,CloseToDryAd,VeryMoist,CloseToDryAd,MarkedUpper,MoistMDryL,DryLine,SigPositive,Other,SWQuad,LVorOther,
Down,Down,Neutral,,Neutral,Wet,Wet,Neutral,Neutral,PC,PC,PC,,Strong,Strong,DCVZFavor,Strong,,Strong,,LittleChange,LittleChange,,Decreasing,,,A,,PartInhibit,,Average,ABI,N1GtLIGt_4,Stability,,,ACEFK,,Strong,Moderate,A,XNIL,SVR,SVR,,,Average,Steep,StrongFront,Other,DenvCyclone,,Other,SWQuad,LVorOther,
Down,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Clear,PC,PC,Strong,Strong,Westerly,Weak,Strong,Strong,Some,IncCapDecIns,Increasing,Neutral,LittleChange,,,E,CThruK,,LessThanAve,Average,CDEJ,,Neutral,Average,Average,ACEFK,,,,E,,XNIL,SIG,LowAtStation,,Dry,ModerateOrLe,NoMajor,MoistMDryL,,LittleChange,,SWQuad,,LV
WeakUp,Down,Neutral,Down,,Neutral,Dry,Wet,,,,Clear,,Weak,Strong,DCVZFavor,Weak,,,Some,LittleChange,LittleChange,,LittleChange,XNIL,,C,CThruK,,Average,,CDEJ,LIGt0,Stability,LessUnstable,Average,ACEFK,Stifling,Strong,,C,XNIL,XNIL,XNIL,,Steep,,Steep,NoMajor,Other,E_W_N,SigPositive,,NWQuad,Westerly,
Down,Neutral,Neutral,Down,,Dry,Dry,Dry,,PC,PC,Cloudy,Cloudy,Weak,Weak,StrongWest,Strong,,,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,,CThruK,PartInhibit,LessThanAve,Average,,N1GtLIGt_4,Instability,MoreUnstable,,,PartInhibit,,,E,XNIL,XNIL,SIG,Other,,Dry,,OtherRapid,MoistMDryL,E_W_N,SigNegative,,AllElse,LVorOther,LongAnticyc
WeakUp,Neutral,,WeakUp,WeakUp,Neutral,,Wet,,PC,Clear,PC,PC,,,Other,,Weak,Weak,,LittleChange,LittleChange,,Decreasing,,Aug20_Sep15,J,CThruK,PartInhibit,,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,,Average,GJ,,Weak,Strong,J,SVR,SVR,SVR,,Steep,Average,Steep,NoMajor,Other,DryLine,LittleChange,,LV,LVorOther,
StrongUp,,WeakUp,,StrongUp,VeryWet,,VeryWet,VeryWet,PC,PC,,,Strong,,,Strong,,Strong,Marked,IncCapDecIns,Increasing,,LittleChange,XNIL,,G,CThruK,PartInhibit,Average,MoreThanAve,,,Neutral,MoreUnstable,,GJ,,Moderate,Moderate,G,SIG,SIG,,,CloseToDryAd,Dry,CloseToDryAd,,Other,,PosToNeg,,AllElse,Westerly,LongAnticyc
WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Wet,,,Clear,,PC,Weak,Weak,StrongWest,,,Weak,Some,,,Negative,Decreasing,SIG,May15_Jun14,K,CThruK,PartInhibit,,,,N1GtLIGt_4,Instability,Average,LessUnstable,ACEFK,,,Slight,K,XNIL,SIG,SIG,LowEvrywhere,ModerateOrLe,Dry,ModerateOrLe,StrongFront,MoistMDryL,E_W_N,SigPositive,QStationary,,Westerly,WidespdDnsl
Down,Down,,Neutral,Neutral,,,Dry,Dry,Clear,,PC,Clear,Strong,Strong,Other,Weak,,,Some,LittleChange,,Neutral,LittleChange,SVR,,,CThruK,TotalInhibit,MoreThanAve,,,N5GtLIGt_8,Instability,MoreUnstable,,D,,Moderate,Strong,D,,XNIL,SVR,LowSHighN,CloseToDryAd,Dry,,OtherRapid,DryMMoistL,,SigNegative,Other,,Westerly,SEQuad
,Neutral,,,WeakUp,Dry,,,Wet,,Clear,,Clear,,Strong,StrongWest,Strong,,Strong,Some,LittleChange,LittleChange,,LittleChange,SIG,Aug20_Sep15,G,CThruK,,LessThanAve,,G,N1GtLIGt_4,,Average,Average,GJ,Stifling,,Slight,G,SIG,,,LowSHighN,CloseToDryAd,Average,CloseToDryAd,,MoistMDryL,,SigNegative,,NWQuad,Westerly,LongAnticyc
WeakUp,StronUp,StrongUp,StrongUp,,Wet,Dry,,VeryWet,PC,,Clear,PC,Strong,,StrongWest,Strong,Weak,Weak,Marked,LittleChange,LittleChange,Negative,LittleChange,SVR,Jul16_Aug10,H,,PartInhibit,Average,,H,N5GtLIGt_8,Stability,LessUnstable,,HI,PartInhibit,Unfavorable,,H,XNIL,XNIL,,HighEvrywher,Stable,VeryMoist,ModerateOrLe,MarkedUpper,Other,,SigNegative,Moving,LV,Westerly,E_NE
StrongUp,,Neutral,WeakUp,WeakUp,Neutral,Neutral,,Wet,,Clear,Cloudy,Cloudy,Strong,Strong,Westerly,Weak,Strong,,Marked,,Increasing,StrongPos,,,May15_Jun14,K,CThruK,Stifling,MoreThanAve,MoreThanAve,,N1GtLIGt_4,Instability,,,ACEFK,PartInhibit,Weak,,K,SIG,SIG,,Other,ModerateOrLe,Dry,Steep,StrongFront,Other,MovingFtorOt,,,,LVorOther,LongAnticyc
Down,Neutral,Neutral,,Neutral,Neutral,Dry,,Dry,PC,Clear,,Clear,,Weak,,,Strong,Weak,,LittleChange,LittleChange,Neutral,,XNIL,,,,PartInhibit,,Average,CDEJ,N5GtLIGt_8,Stability,Average,,,,Weak,Strong,E,XNIL,XNIL,XNIL,,,Average,ModerateOrLe,MarkedUpper,,,LittleChange,,,LVorOther,
StrongUp,StronUp,Down,WeakUp,WeakUp,Dry,Wet,,Wet,,,Cloudy,PC,,Weak,DCVZFavor,,Weak,Weak,,LittleChange,LittleChange,Neutral,Decreasing,XNIL,,I,,,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Unfavorable,,,XNIL,XNIL,XNIL,LowSHighN,ModerateOrLe,Dry,Steep,,,MovingFtorOt,PosToNeg,,NWQuad,LVorOther,SEQuad
WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,Neutral,,Wet,Cloudy,Clear,,Cloudy,Strong,Strong,,Strong,,Strong,Some,IncCapDecIns,Increasing,StrongPos,Increasing,SVR,May15_Jun14,B,AB,PartInhibit,LessThanAve,,ABI,N1GtLIGt_4,Stability,Average,,B,PartInhibit,,Strong,B,,SIG,SVR,Other,ModerateOrLe,Average,CloseToDryAd,,Other,DenvCyclone,LittleChange,Other,AllElse,LVorOther,
,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,PC,PC,PC,Weak,,,Weak,Strong,Weak,Some,IncCapDecIns,Increasing,,Decreasing,SIG,,I,CThruK,Stifling,Average,MoreThanAve,ABI,N1GtLIGt_4,,LessUnstable,LessUnstable,HI,,Weak,,I,XNIL,XNIL,,,Steep,,Steep,MarkedUpper,DryMMoistL,,NegToPos,QStationary,SWQuad,LVorOther,
Down,,,,Neutral,,Dry,Dry,,Clear,PC,Clear,Clear,,Strong,StrongWest,Strong,Strong,Strong,Marked,DecCapIncIns,Decreasing,Negative,,,Jul2_Jul15,J,CThruK,,Average,LessThanAve,CDEJ,N5GtLIGt_8,,MoreUnstable,Average,GJ,,,Slight,J,SIG,SIG,SIG,,Steep,,ModerateOrLe,,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,
