N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Neutral,Neutral,WeakUp,Neutral,,Dry,,Neutral,Neutral,,Cloudy,Cloudy,Cloudy,Weak,Weak,,,Weak,Weak,,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,May15_Jun14,I,CThruK,,Average,MoreThanAve,ABI,N1GtLIGt_4,Instability,,MoreUnstable,HI,PartInhibit,Moderate,,I,SIG,SIG,SIG,LowMtsHighPl,ModerateOrLe,Average,Steep,NoMajor,,Other,,,AllElse,LVorOther,LV
Neutral,Down,Neutral,Down,Down,Wet,Neutral,Neutral,Dry,Clear,Clear,Clear,Clear,,,Westerly,,,,,LittleChange,LittleChange,,Decreasing,XNIL,May15_Jun14,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,,Instability,LessUnstable,LessUnstable,B,Stifling,,,B,,SIG,SIG,LowMtsHighPl,,Average,ModerateOrLe,NoMajor,DryMMoistL,DenvCyclone,LittleChange,,SWQuad,LVorOther,DenvCyclone
Neutral,Neutral,StrongUp,WeakUp,WeakUp,Dry,Neutral,Wet,Neutral,Clear,PC,Clear,Clear,Strong,Strong,StrongWest,,Weak,Strong,Some,LittleChange,,,Increasing,SVR,Jul16_Aug10,B,AB,PartInhibit,LessThanAve,,,N1GtLIGt_4,Neutral,,Average,B,PartInhibit,Moderate,,B,XNIL,XNIL,SVR,LowEvrywhere,Stable,VeryMoist,ModerateOrLe,MarkedUpper,,DenvCyclone,PosToNeg,,,Westerly,DenvCyclone
StrongUp,Neutral,WeakUp,WeakUp,WeakUp,Wet,Neutral,Wet,VeryWet,PC,Clear,PC,PC,,Strong,Westerly,Strong,,Strong,Marked,,LittleChange,StrongPos,Increasing,,May15_Jun14,K,CThruK,,,Average,K,LIGt0,,LessUnstable,MoreUnstable,ACEFK,PartInhibit,Strong,Moderate,K,XNIL,XNIL,SVR,LowSHighN,,Dry,ModerateOrLe,StrongFront,DryMMoistL,MovingFtorOt,SigNegative,Moving,,,WidespdDnsl
WeakUp,Neutral,Down,WeakUp,WeakUp,VeryWet,Neutral,,,,Clear,Clear,Clear,,Weak,,Weak,,,Some,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Aug20_Sep15,D,CThruK,,,LessThanAve,CDEJ,,Stability,Average,LessUnstable,D,,Weak,,D,SIG,,SIG,HighEvrywher,CloseToDryAd,Average,Steep,StrongFront,Other,DenvCyclone,,Other,AllElse,LVorOther,DenvCyclone
Neutral,Down,Neutral,Neutral,Neutral,,Neutral,Neutral,Wet,PC,PC,PC,,,Strong,,,,,,DecCapIncIns,Decreasing,WeakPos,,SIG,May15_Jun14,H,,PartInhibit,Average,LessThanAve,H,N1GtLIGt_4,,,Average,,Stifling,Strong,Slight,H,XNIL,XNIL,SIG,,,,,MarkedUpper,DryMMoistL,Other,SigNegative,,LV,LVorOther,E_NE
WeakUp,StronUp,Neutral,Neutral,,Neutral,,Neutral,Neutral,Cloudy,,PC,PC,,,Other,,,Weak,,LittleChange,LittleChange,,Increasing,XNIL,,K,,,LessThanAve,LessThanAve,K,N1GtLIGt_4,Instability,MoreUnstable,,ACEFK,,Strong,Strong,K,XNIL,SIG,SIG,Other,Steep,Average,ModerateOrLe,,Other,,PosToNeg,Moving,AllElse,Westerly,
Down,,Neutral,Neutral,Neutral,Dry,,VeryWet,VeryWet,PC,PC,,Clear,,Weak,StrongWest,Strong,Weak,,,DecCapIncIns,Decreasing,WeakPos,Increasing,XNIL,May15_Jun14,,AB,PartInhibit,LessThanAve,LessThanAve,ABI,LIGt0,Stability,LessUnstable,MoreUnstable,ACEFK,,Unfavorable,,A,,SVR,SVR,HighEvrywher,Stable,Average,ModerateOrLe,StrongFront,DryMMoistL,DenvCyclone,SigNegative,Other,SWQuad,LVorOther,
,Neutral,Down,Neutral,Neutral,Wet,Dry,Dry,Dry,Clear,Cloudy,PC,PC,,Strong,,Strong,,Strong,Marked,,Decreasing,Negative,Decreasing,SVR,Jul2_Jul15,K,,Stifling,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Weak,Slight,K,,SVR,SVR,HighEvrywher,ModerateOrLe,Average,Steep,MarkedUpper,DryMMoistL,MovingFtorOt,,,AllElse,LVorOther,WidespdDnsl
,Neutral,Neutral,WeakUp,WeakUp,Neutral,Neutral,Wet,Wet,Cloudy,,Cloudy,PC,Strong,Strong,StrongWest,Strong,Strong,,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,,C,CThruK,Stifling,,MoreThanAve,CDEJ,N5GtLIGt_8,,MoreUnstable,MoreUnstable,ACEFK,Stifling,Weak,,C,XNIL,XNIL,XNIL,,Steep,Dry,ModerateOrLe,MarkedUpper,MoistMDryL,E_W_N,LittleChange,,,Westerly,LongAnticyc
,Neutral,StrongUp,WeakUp,WeakUp,Neutral,,Neutral,Wet,Clear,PC,Clear,Clear,,,StrongWest,,,,,LittleChange,LittleChange,WeakPos,LittleChange,,May15_Jun14,,AB,,LessThanAve,,ABI,LILt_8,,,MoreUnstable,B,,Moderate,Moderate,B,SVR,SVR,SVR,HighEvrywher,,,Steep,NoMajor,DryMMoistL,DenvCyclone,SigNegative,,,LVorOther,DenvCyclone
WeakUp,,Neutral,,WeakUp,Neutral,,,Neutral,PC,Clear,,Clear,,Weak,DCVZFavor,Weak,Weak,,Some,DecCapIncIns,Decreasing,Neutral,Decreasing,XNIL,Jul2_Jul15,E,CThruK,TotalInhibit,Average,LessThanAve,,N1GtLIGt_4,Stability,LessUnstable,,ACEFK,PartInhibit,Moderate,Moderate,E,XNIL,,XNIL,HighEvrywher,CloseToDryAd,,,,,,NegToPos,,SWQuad,Westerly,LV
WeakUp,Neutral,Down,Down,Down,VeryWet,Dry,VeryWet,Wet,PC,Cloudy,,PC,Strong,Strong,Westerly,Strong,,Strong,Marked,IncCapDecIns,,Neutral,Increasing,SVR,Aug20_Sep15,C,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,,Stability,LessUnstable,LessUnstable,ACEFK,,Moderate,Strong,C,SIG,SIG,SVR,LowEvrywhere,Steep,Average,ModerateOrLe,OtherRapid,,E_W_N,NegToPos,,NWQuad,LVorOther,WidespdDnsl
Neutral,,WeakUp,Neutral,Neutral,,Wet,Neutral,Neutral,Clear,PC,Clear,Clear,,,,Weak,Weak,Weak,,IncCapDecIns,,Neutral,LittleChange,XNIL,May15_Jun14,K,CThruK,Stifling,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Instability,,MoreUnstable,ACEFK,,Moderate,Strong,K,XNIL,XNIL,,LowAtStation,Steep,Dry,,StrongFront,,MovingFtorOt,SigPositive,Moving,NWQuad,Westerly,SEQuad
,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,VeryWet,VeryWet,PC,Clear,PC,PC,,,Westerly,,,,,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Jul16_Aug10,B,AB,Stifling,Average,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,,Strong,Strong,B,XNIL,XNIL,XNIL,LowNHighS,Stable,Dry,CloseToDryAd,OtherRapid,,,,,NWQuad,,E_NE
,,StrongUp,StrongUp,StrongUp,Wet,VeryWet,VeryWet,VeryWet,PC,Clear,PC,PC,,Weak,DCVZFavor,,,,,DecCapIncIns,Decreasing,Negative,Decreasing,,May15_Jun14,A,AB,Stifling,Average,Average,ABI,LILt_8,Neutral,Average,LessUnstable,ACEFK,Stifling,Strong,Moderate,A,XNIL,XNIL,XNIL,LowMtsHighPl,ModerateOrLe,Dry,Steep,MarkedUpper,DryMMoistL,DenvCyclone,PosToNeg,Other,SWQuad,Westerly,
WeakUp,Down,WeakUp,Neutral,,Wet,Neutral,Dry,Dry,Clear,Clear,Clear,Clear,,Weak,Westerly,Weak,Weak,Weak,,DecCapIncIns,Decreasing,Negative,,XNIL,,B,AB,,LessThanAve,LessThanAve,,N5GtLIGt_8,Stability,,LessUnstable,B,PartInhibit,,Moderate,B,XNIL,XNIL,XNIL,LowMtsHighPl,Stable,VeryMoist,CloseToDryAd,,DryMMoistL,MovingFtorOt,LittleChange,Other,SWQuad,LVorOther,
WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Dry,,Clear,Clear,Clear,Clear,,,Other,,,Weak,,,LittleChange,Neutral,Decreasing,XNIL,Jul2_Jul15,C,CThruK,Stifling,Average,Average,,,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,,,C,XNIL,,XNIL,LowAtStation,,Average,Steep,MarkedUpper,MoistMDryL,E_W_N,SigPositive,Other,AllElse,Westerly,LongAnticyc
Neutral,,StrongUp,Neutral,,Dry,Dry,Dry,Dry,Clear,Clear,Clear,Clear,,,DCVZFavor,,,Strong,,,,,Increasing,XNIL,Jul2_Jul15,E,CThruK,PartInhibit,LessThanAve,,CDEJ,,Neutral,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,,E,SIG,SIG,SIG,,ModerateOrLe,Dry,ModerateOrLe,NoMajor,Other,,LittleChange,,LV,Westerly,WidespdDnsl
Neutral,StronUp,,Down,,Dry,,Dry,Dry,Clear,PC,Clear,Clear,,,Other,,,Weak,,IncCapDecIns,Increasing,Negative,Decreasing,,May15_Jun14,,CThruK,,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,Stability,Average,Average,HI,PartInhibit,Moderate,Slight,I,SVR,SVR,SVR,LowSHighN,ModerateOrLe,Average,CloseToDryAd,MarkedUpper,,DryLine,LittleChange,QStationary,NWQuad,,DenvCyclone
Down,Down,,Down,Down,Dry,Neutral,VeryWet,Wet,Clear,Cloudy,Cloudy,,Strong,Strong,Westerly,Strong,Strong,Weak,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,,Jun15_Jul1,I,CThruK,PartInhibit,Average,Average,ABI,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,HI,PartInhibit,,,I,SVR,,,LowSHighN,CloseToDryAd,Average,CloseToDryAd,OtherRapid,DryMMoistL,,SigNegative,Moving,SWQuad,,LV
Down,StronUp,,StrongUp,StrongUp,Neutral,Neutral,Neutral,,Clear,PC,Clear,,,Strong,,Strong,,,Marked,LittleChange,LittleChange,WeakPos,Increasing,,Aug20_Sep15,,AB,,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,Average,,B,,Unfavorable,,,XNIL,XNIL,SVR,HighEvrywher,Steep,Average,Steep,NoMajor,DryMMoistL,DenvCyclone,LittleChange,QStationary,NWQuad,Westerly,DenvCyclone
Down,,StrongUp,Down,Down,Wet,Neutral,,Dry,Cloudy,PC,Cloudy,Clear,,,StrongWest,Strong,Weak,,,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,,,,,Average,MoreThanAve,ABI,,Neutral,MoreUnstable,MoreUnstable,HI,,,,,,,SVR,LowMtsHighPl,Steep,Average,CloseToDryAd,OtherRapid,,E_W_S,PosToNeg,QStationary,SWQuad,Westerly,E_NE
Down,WeakUp,Neutral,WeakUp,WeakUp,Wet,Wet,VeryWet,VeryWet,PC,Cloudy,,Cloudy,,,,,,,,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Aug20_Sep15,,AB,,LessThanAve,LessThanAve,ABI,,Instability,LessUnstable,LessUnstable,,PartInhibit,Unfavorable,Slight,A,,XNIL,,HighEvrywher,ModerateOrLe,Dry,Steep,MarkedUpper,Other,,,,,Westerly,DenvCyclone
Neutral,WeakUp,WeakUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,PC,Cloudy,PC,PC,,Weak,Other,,Strong,Weak,,DecCapIncIns,Decreasing,WeakPos,LittleChange,,Aug20_Sep15,K,,Stifling,Average,LessThanAve,K,,,MoreUnstable,MoreUnstable,ACEFK,,Moderate,Strong,K,SVR,,SVR,Other,ModerateOrLe,Average,ModerateOrLe,StrongFront,Other,,PosToNeg,,NWQuad,Westerly,WidespdDnsl
Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,,PC,PC,PC,Weak,Weak,DCVZFavor,Weak,Weak,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul16_Aug10,J,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,GJ,Stifling,Weak,,J,SVR,SVR,SVR,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,,LV,LVorOther,SEQuad
WeakUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Dry,Wet,,Clear,PC,Clear,PC,Strong,Strong,Other,,Strong,Strong,,,Decreasing,Neutral,,SIG,,D,CThruK,Stifling,Average,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,LessUnstable,D,PartInhibit,Moderate,Moderate,D,,XNIL,SIG,LowAtStation,Stable,Dry,Steep,OtherRapid,Other,,SigNegative,Other,LV,LVorOther,WidespdDnsl
WeakUp,,Neutral,WeakUp,,Neutral,VeryWet,Dry,Dry,PC,PC,,PC,Weak,Weak,Other,,Weak,Weak,,DecCapIncIns,,,Increasing,XNIL,May15_Jun14,A,AB,,Average,LessThanAve,ABI,N5GtLIGt_8,Neutral,Average,,ACEFK,,,Strong,A,,SIG,,HighEvrywher,ModerateOrLe,,Steep,,,,PosToNeg,Other,SWQuad,Westerly,DenvCyclone
Down,Neutral,Neutral,Neutral,Neutral,Wet,Dry,Neutral,Wet,PC,Cloudy,PC,Clear,Strong,Strong,,Strong,,,Marked,,LittleChange,,Increasing,SVR,Jun15_Jul1,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Neutral,Average,MoreUnstable,,PartInhibit,Moderate,,B,SIG,SIG,SVR,,,,Steep,,,DryLine,LittleChange,,LV,Westerly,DenvCyclone
WeakUp,StronUp,Down,Down,Down,Wet,Neutral,Neutral,Neutral,Cloudy,PC,Clear,Clear,Strong,Strong,Other,Weak,,,Some,IncCapDecIns,,,Increasing,,Jul16_Aug10,C,,PartInhibit,LessThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,Average,MoreUnstable,ACEFK,,Weak,Strong,C,,SIG,SVR,LowMtsHighPl,CloseToDryAd,Average,,MarkedUpper,Other,,SigPositive,Other,NWQuad,Westerly,LongAnticyc
,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Wet,Wet,Clear,PC,Clear,Clear,Weak,Strong,Westerly,Weak,,,Some,DecCapIncIns,Decreasing,,LittleChange,SVR,May15_Jun14,J,,,LessThanAve,LessThanAve,CDEJ,LIGt0,Instability,MoreUnstable,MoreUnstable,,,Unfavorable,,,,XNIL,SVR,LowMtsHighPl,Steep,Average,CloseToDryAd,NoMajor,MoistMDryL,Other,LittleChange,Other,LV,LVorOther,LV
Down,,Down,,Neutral,,,Dry,,,Cloudy,PC,Clear,Strong,Strong,,,Weak,Strong,Marked,IncCapDecIns,Increasing,Negative,Increasing,SVR,May15_Jun14,D,CThruK,,LessThanAve,Average,CDEJ,N1GtLIGt_4,Instability,Average,,D,TotalInhibit,,Slight,D,SIG,SIG,SVR,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,Other,DryLine,LittleChange,Moving,NWQuad,Westerly,LV
Neutral,Neutral,StrongUp,WeakUp,WeakUp,,VeryWet,Dry,,Clear,Cloudy,PC,,,,,Weak,,Weak,,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Aug20_Sep15,D,CThruK,Stifling,MoreThanAve,,CDEJ,N5GtLIGt_8,Stability,Average,LessUnstable,D,Stifling,Moderate,,D,XNIL,XNIL,SIG,LowSHighN,CloseToDryAd,VeryMoist,CloseToDryAd,MarkedUpper,MoistMDryL,DryLine,SigPositive,Other,SWQuad,LVorOther,DenvCyclone
Down,Down,Neutral,Neutral,Neutral,Wet,,,Neutral,PC,PC,PC,PC,,Strong,DCVZFavor,Strong,,Strong,Some,,LittleChange,Neutral,Decreasing,XNIL,Aug20_Sep15,,AB,PartInhibit,Average,Average,,,Stability,LessUnstable,LessUnstable,ACEFK,,Strong,Moderate,A,XNIL,SVR,,HighEvrywher,Stable,Average,Steep,StrongFront,Other,DenvCyclone,PosToNeg,,SWQuad,LVorOther,DenvCyclone
Down,WeakUp,,,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Clear,PC,PC,Strong,Strong,Westerly,Weak,Strong,Strong,Some,IncCapDecIns,,Neutral,,SIG,May15_Jun14,E,,,LessThanAve,Average,CDEJ,N1GtLIGt_4,Neutral,Average,Average,ACEFK,,Unfavorable,,E,,XNIL,SIG,LowAtStation,Steep,Dry,ModerateOrLe,NoMajor,MoistMDryL,,,,SWQuad,Westerly,LV
WeakUp,Down,Neutral,Down,Down,,Dry,Wet,Wet,,PC,Clear,Clear,,Strong,DCVZFavor,Weak,Strong,,Some,,LittleChange,Neutral,LittleChange,XNIL,Jul16_Aug10,,CThruK,Stifling,Average,Average,,LIGt0,,,Average,,Stifling,Strong,,C,XNIL,XNIL,XNIL,LowAtStation,Steep,,Steep,NoMajor,Other,E_W_N,SigPositive,,,Westerly,LongAnticyc
Down,Neutral,,,,,Dry,Dry,Dry,PC,PC,Cloudy,Cloudy,Weak,Weak,StrongWest,Strong,,Strong,Marked,IncCapDecIns,Increasing,WeakPos,,SIG,Jul16_Aug10,E,CThruK,PartInhibit,LessThanAve,Average,CDEJ,N1GtLIGt_4,,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,,E,XNIL,XNIL,SIG,,,Dry,,OtherRapid,MoistMDryL,E_W_N,,,AllElse,LVorOther,LongAnticyc
WeakUp,,StrongUp,WeakUp,,,VeryWet,Wet,VeryWet,,Clear,PC,,,,Other,,,Weak,,LittleChange,LittleChange,,Decreasing,,Aug20_Sep15,,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,,Average,,,Weak,Strong,,SVR,SVR,SVR,LowMtsHighPl,Steep,Average,Steep,NoMajor,Other,,LittleChange,,LV,LVorOther,LV
StrongUp,StronUp,WeakUp,StrongUp,StrongUp,VeryWet,Dry,,VeryWet,PC,PC,,Cloudy,,Strong,DCVZFavor,Strong,,Strong,Marked,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,,,CThruK,PartInhibit,Average,,G,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,GJ,,Moderate,Moderate,,,SIG,SIG,LowEvrywhere,,,CloseToDryAd,,Other,,PosToNeg,,AllElse,Westerly,
WeakUp,Neutral,Neutral,Neutral,Neutral,,,Wet,Wet,Clear,Clear,PC,PC,Weak,Weak,StrongWest,Strong,,Weak,Some,LittleChange,,Negative,Decreasing,SIG,May15_Jun14,,CThruK,PartInhibit,LessThanAve,LessThanAve,,N1GtLIGt_4,Instability,,LessUnstable,ACEFK,PartInhibit,Weak,Slight,K,,SIG,SIG,,ModerateOrLe,,ModerateOrLe,StrongFront,MoistMDryL,E_W_N,SigPositive,QStationary,NWQuad,Westerly,WidespdDnsl
Down,,,Neutral,Neutral,Neutral,,Dry,,,PC,,Clear,Strong,Strong,Other,Weak,Weak,,Some,LittleChange,LittleChange,Neutral,LittleChange,,Jul2_Jul15,D,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,Average,,PartInhibit,Moderate,,D,XNIL,XNIL,SVR,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,DryMMoistL,,,Other,,,SEQuad
,Neutral,StrongUp,WeakUp,WeakUp,,Wet,Wet,Wet,PC,Clear,,Clear,Strong,Strong,StrongWest,,,Strong,Some,LittleChange,LittleChange,Negative,LittleChange,SIG,,G,CThruK,,,LessThanAve,G,N1GtLIGt_4,Stability,,,GJ,,Moderate,Slight,,SIG,SIG,SIG,LowSHighN,CloseToDryAd,Average,CloseToDryAd,MarkedUpper,MoistMDryL,DryLine,SigNegative,,,Westerly,LongAnticyc
WeakUp,StronUp,StrongUp,StrongUp,StrongUp,Wet,Dry,Wet,VeryWet,PC,Clear,Clear,PC,,,,,Weak,Weak,Marked,LittleChange,LittleChange,Negative,LittleChange,SVR,Jul16_Aug10,H,CThruK,PartInhibit,Average,Average,H,N5GtLIGt_8,Stability,,LessUnstable,HI,PartInhibit,Unfavorable,,,XNIL,XNIL,SVR,HighEvrywher,,VeryMoist,ModerateOrLe,,Other,MovingFtorOt,SigNegative,Moving,LV,Westerly,
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,PC,Clear,Cloudy,Cloudy,Strong,Strong,Westerly,Weak,Strong,Strong,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,May15_Jun14,K,,,,MoreThanAve,K,N1GtLIGt_4,Instability,,,,PartInhibit,Weak,Slight,,SIG,SIG,,Other,ModerateOrLe,Dry,Steep,StrongFront,Other,MovingFtorOt,SigNegative,,NWQuad,LVorOther,LongAnticyc
Down,Neutral,Neutral,,,Neutral,Dry,Neutral,Dry,PC,Clear,Clear,Clear,,Weak,StrongWest,,Strong,Weak,Some,,LittleChange,Neutral,,XNIL,Jul2_Jul15,E,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,,Average,LessUnstable,ACEFK,,Weak,Strong,E,,XNIL,,LowSHighN,CloseToDryAd,Average,ModerateOrLe,,MoistMDryL,E_W_N,LittleChange,,SWQuad,LVorOther,DenvCyclone
