HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
False,NORMAL,NORMAL,False,NORMAL,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,,LOW,,ZERO,HIGH,HIGH,,LOW,LOW
False,,NORMAL,False,NORMAL,False,NORMAL,False,,HIGH,False,,True,False,HIGH,LOW,False,ZERO,,LOW,,,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,,,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,LOW,NORMAL,True,NORMAL,False,NORMAL,False,,HIGH,False,HIGH,False,False,,LOW,False,,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,True,NORMAL,NORMAL,ZERO,ZERO,ZERO,HIGH,,,HIGH,LOW
False,,HIGH,True,HIGH,False,NORMAL,False,HIGH,HIGH,False,HIGH,True,False,NORMAL,ZERO,False,ZERO,NORMAL,,LOW,NORMAL,False,NORMAL,,,False,,,LOW,ZERO,ZERO,HIGH,,HIGH,,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,,HIGH,False,HIGH,False,False,NORMAL,ZERO,False,ZERO,,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,,False,NORMAL,NORMAL,LOW,ZERO,HIGH,LOW,HIGH,,HIGH,
True,LOW,LOW,False,,True,,False,,HIGH,False,HIGH,False,False,HIGH,ZERO,False,HIGH,NORMAL,LOW,LOW,NORMAL,False,NORMAL,,LOW,False,NORMAL,NORMAL,HIGH,LOW,HIGH,,,HIGH,LOW,LOW
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,,LOW,False,,NORMAL,,,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,LOW,ZERO,,,HIGH,HIGH,HIGH,,LOW
False,,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,,True,False,,ZERO,False,,NORMAL,HIGH,,NORMAL,False,NORMAL,,,False,,HIGH,HIGH,,HIGH,LOW,HIGH,,HIGH,
False,HIGH,,False,HIGH,False,NORMAL,False,LOW,LOW,False,LOW,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,HIGH,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,,ZERO,ZERO,HIGH,,NORMAL,,
False,NORMAL,,False,,False,NORMAL,False,HIGH,,False,HIGH,False,False,NORMAL,,False,ZERO,NORMAL,LOW,,,False,NORMAL,NORMAL,,False,NORMAL,NORMAL,,ZERO,ZERO,HIGH,HIGH,,HIGH,
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,,HIGH,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,,,,False,NORMAL,,HIGH,False,,NORMAL,,ZERO,ZERO,HIGH,HIGH,,HIGH,
False,NORMAL,NORMAL,False,,False,NORMAL,False,HIGH,,False,HIGH,False,False,NORMAL,ZERO,False,ZERO,,,,,False,NORMAL,,,False,NORMAL,,,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,,NORMAL,HIGH,False,,NORMAL,,ZERO,ZERO,HIGH,,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,,NORMAL,False,HIGH,False,False,HIGH,,False,,,LOW,LOW,HIGH,False,NORMAL,,LOW,False,,NORMAL,,ZERO,,HIGH,HIGH,HIGH,,
False,LOW,LOW,False,,False,,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,HIGH,NORMAL,,HIGH,NORMAL,False,,,,False,,,HIGH,LOW,HIGH,LOW,HIGH,HIGH,,HIGH
False,NORMAL,LOW,False,LOW,False,NORMAL,False,HIGH,,False,,False,False,,,False,HIGH,NORMAL,LOW,LOW,,False,,,HIGH,True,LOW,,,LOW,HIGH,,HIGH,,HIGH,LOW
False,NORMAL,NORMAL,False,,False,HIGH,False,HIGH,,False,HIGH,False,False,,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,,HIGH,HIGH,HIGH,HIGH,HIGH
False,,NORMAL,False,NORMAL,False,HIGH,False,,,False,HIGH,False,False,HIGH,LOW,False,ZERO,,,LOW,NORMAL,False,,NORMAL,HIGH,False,,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,,,False,NORMAL,False,NORMAL,False,LOW,HIGH,True,,False,False,HIGH,ZERO,False,HIGH,NORMAL,HIGH,,NORMAL,False,,NORMAL,LOW,False,NORMAL,HIGH,,,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,
False,NORMAL,NORMAL,False,NORMAL,False,,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,NORMAL,,,NORMAL,False,NORMAL,NORMAL,LOW,False,,,LOW,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,,False,NORMAL,False,HIGH,,False,,False,False,,LOW,False,ZERO,NORMAL,LOW,,,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,,,,HIGH,,,HIGH,LOW
False,HIGH,HIGH,True,HIGH,False,LOW,False,LOW,LOW,False,LOW,False,False,NORMAL,,True,,,LOW,LOW,NORMAL,False,NORMAL,NORMAL,ZERO,False,,NORMAL,ZERO,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,NORMAL,True,NORMAL,True,False,LOW,,False,ZERO,,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,,NORMAL,LOW,,ZERO,,HIGH,HIGH,HIGH,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,HIGH,False,,,False,,False,False,NORMAL,,False,ZERO,,,LOW,NORMAL,False,,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,,HIGH,HIGH,NORMAL
False,,HIGH,False,HIGH,False,NORMAL,False,LOW,LOW,False,LOW,False,False,HIGH,LOW,False,,,HIGH,HIGH,NORMAL,False,NORMAL,,,False,,ZERO,ZERO,LOW,,LOW,NORMAL,NORMAL,NORMAL,HIGH
False,NORMAL,,False,,False,NORMAL,False,HIGH,HIGH,False,,False,False,LOW,HIGH,False,ZERO,LOW,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,,,,
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,,HIGH,False,HIGH,True,False,,,False,ZERO,,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,,,LOW,ZERO,ZERO,HIGH,HIGH,,HIGH,
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,,True,False,HIGH,LOW,False,,,,,NORMAL,False,,NORMAL,LOW,False,NORMAL,,LOW,ZERO,ZERO,HIGH,,HIGH,,
False,NORMAL,,False,NORMAL,False,NORMAL,False,HIGH,,False,HIGH,False,False,NORMAL,,False,,NORMAL,,LOW,,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,
False,HIGH,HIGH,True,HIGH,False,LOW,True,,LOW,False,LOW,True,False,,LOW,False,,,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,,NORMAL,LOW,,ZERO,HIGH,,NORMAL,,NORMAL
False,NORMAL,,False,NORMAL,False,NORMAL,False,NORMAL,,True,LOW,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,,NORMAL,False,NORMAL,,NORMAL,False,NORMAL,NORMAL,LOW,,ZERO,,HIGH,LOW,LOW,
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,,False,True,,LOW,False,ZERO,NORMAL,LOW,,NORMAL,False,NORMAL,NORMAL,,False,NORMAL,NORMAL,,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,
False,LOW,,False,NORMAL,False,,False,HIGH,NORMAL,True,,False,False,NORMAL,,True,LOW,,LOW,,NORMAL,False,,NORMAL,ZERO,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,NORMAL,HIGH,,HIGH,HIGH
False,,,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,,False,False,NORMAL,LOW,False,,NORMAL,LOW,LOW,NORMAL,False,NORMAL,,LOW,False,NORMAL,NORMAL,,,ZERO,HIGH,,,HIGH,
